,Islamic,,Islamic_History,,Personality,1,Short Story,,Poetry,,Language,,Geography,,History,,Scientific,,Society,,Novel
Aap ke Masail,3,Tarikh-e-Islam,2,Tajliyat-e-Nabuwat,4,Mazboot,1,Jawab-e-Ghazle,1,Tafheem-e-Urdu,1,,,Pakistan ke Asar,1,Suraj Kahani,2,Nisado ke adam khor,1,Aur Hisar Toot Gaya,1
Islamiyat,2,Undalas ki fatah,1,Ashra Mubashra ke zindagi ke Sunehre Waqiyat,1,Mithu,4,,,Assan Arabic,1,,,Sultan,2,Internet,2,pathron ki barish,1,A drop of mercy,1
Rahman,1,Muarika-e-Jaloola,1,Hazrat Nooh,1,Bara Moti,1,,,,,,,Qayam-e-Pakistan,2,Kon kya hai,2,Apna karorobar,1,Tooti kahan kamand,1
Sunehri Duayen,1,Hqooq-o-Faraiz,1,Arfa Kareem,1,Ehsan Ka Badla,1,,,,,,,Balochistan mein Zalzalen,1,Career Guide,1,Insan aur aman,1,maan,1
Alserf-ul-Amal,1,Ayam-e-Khiafat-e-Rushda,1,Sunehri Seerat,1,Angrai,1,,,,,,,shaitaniat ki tarikh,1,Internet Aur Iske Fawaid,1,Usloob-e-Zindagi,1,yalghar,3
Ramadan kaise guzre,2,Mukhtasar Tarikh-e-Islam,1,Muhammad(PBUH) In quran,1,Chandi ki Tehni,2,,,,,,,Quaid-e-Azam ka Tasawar-e-Pakistan,1,Ejadat ki Kahaniya,1,Qyue,1,Ghadar kon hai?,1
Akhlaq-e-Nabwi,2,Makka Ki jail mein,1,Abu kalam Azad,1,Sachi kahni,1,,,,,,,Saeed Sayah Saltanat-e-Uman mein,1,,,Taleemi Zaviye,1,Jab tak main zinda hoon,1
 aaftab-e-Nabwi ke sunehri shuaye,2,Payre Nabi ka Ehd,1,Ume Amara,1,Salgirah,1,,,,,,,Article 91,1,,,Milali Shagird,1,Khatarnak,1
Namaz-e-Nabwi,1,Undalas,1,Pyare Nabi,3,Hikmat bhari kahaniyan,1,,,,,,,defli se sune ki kan tak,1,,,Social studies,1,Good bye Mr.Chips,1
Ahkam aur wasail,1,Wadi-e-Dajla-o-Furat,1,Allah Ke Pyae nabi,1,Focus,1,,,,,,,Balochistan mein,2,,,Shab,1,Black Water,1
Tauheed Aur Hum,1,Tarikh-e-Makka,1,Allah Ke Nabi Hazrat Dawood,2,Darkhashan Sitare,1,,,,,,,jadeed Duniya ki mukhtasar Tarikh,1,,,Insaniat ki talash,1,Badmashiyan,1
Aina-e-Jamal-e-Nabwi,1,,,Hazrat Abu Bakar,1,,,,,,,,,Pakistan ke Mutaliq,1,,,Muhabat ki barish,1,Curruotion ka Booth tarach,1
uran Seekhe,1,,,Muneer Niazi,1,,,,,,,,,Qaraqaram ki Wadi,1,,,Career Planning,1,Bela,1
Hakayat-e-Saadi,1,,,Allah Ke RAsool hazrat Musa,1,,,,,,,,,Pakistan ki Bunyad,1,,,Kamyaab Logon ki dilchasp batein,1,,
Adaab-e-Saadi,2,,,Rasool Ullah,1,,,,,,,,,Pakistan ke Asar-e-Qadeema,1,,,,,,
Islam,1,,,Syedna umer Farooq,1,,,,,,,,,Jounrel ke Qile Mein,1,,,,,,
Janaze ke Masail,1,,,Sab se bada Insan,1,,,,,,,,,,,,,,,,
Farman-e-Rasool,1,,,Sher shah Suri,1,,,,,,,,,,,,,,,,
Duaon ki Qabooliyat,1,,,Muhazraat-e-Seerat,1,,,,,,,,,,,,,,,,
Sunehre Naqoosh,1,,,Zindagi sahaba Karaam Ki,1,,,,,,,,,,,,,,,,
Muhammad Ki Nafli Ebadat,1,,,Salah uddin Ayoubi,1,,,,,,,,,,,,,,,,
Dily Wisdom,1,,,Abuzar Ghaffari,1,,,,,,,,,,,,,,,,
,,,,Saeeda Khadija,1,,,,,,,,,,,,,,,,
,,,,Shamsuddin,1,,,,,,,,,,,,,,,,
,,,,Imad uddin,1,,,,,,,,,,,,,,,,
,,,,Abu Qasim,,,,,,,,,,,,,,,,,
,,,,Ghareebon ka Aqa,1,,,,,,,,,,,,,,,,
,,,,Matee-e-Azam,1,,,,,,,,,,,,,,,,
,,,,Imad uddin zangi,1,,,,,,,,,,,,,,,,
,,,,Seerat-e-Nabwi,2,,,,,,,,,,,,,,,,
,,,,Mussalman sayed Salar,1,,,,,,,,,,,,,,,,
,,,,Gustakh-e-Rasool,1,,,,,,,,,,,,,,,,
,,,,hazrat saleh,1,,,,,,,,,,,,,,,,
,,,,Khulafa-e-Rashdeen,1,,,,,,,,,,,,,,,,
,,,,Haroom Rasheed,1,,,,,,,,,,,,,,,,
