,Islamic,,Islamic_History,,Personality,,Short Story,,Poetry,,Language,,Geography,,History,,Scientific,,Society,,Novel
Dusron Ki Neki,1,Muarika-e-Qadisia,2,Nawab baba,2,Khazana,2,Bang-e-Dara,1,Asaan Arabic,1,Ziarat,1,Pakistan par Almi Dehshatgardi,2,Suraj Ki Kahani,8,Fan-e-Taleem-o-Tarbiyat,1,Muhafiz,2
Fatawa,1,Pathron ki barish,2,Quaid-e-Azam,2,Tajal ki Kahani,4,,,Tafheem-e-Urdru,1,Khiti Geography-e-Dunya ,1,Pak Study,3,Sihat ka Qaida,1,Qaomi Taleemi Masail,1,Ustad,1
Fazail-e-Quran,3,Tarikh-e-Islam(mukhtasar),2,Bachon ke Hakeem Muhammad  Saeed,2,Apna Ghar,3,,,Dictionary,1,World Article,1,Azadi Ka Dim,1,Science,1,Sab se Bada Insan,4,Anmol Khazana,1
Haqooq-o-Faraiz,1,Tajliyat-e-Nabuwat,10,Hazrat Saleh,3,Sachi Kahani,3,,,Urdu Qawaid,1,,,Tehrik-e-Islam-o-Pakistan,1,Mizan-e-Science,1,Fajar se Subah Tak,1,Woh kon Tha,1
Sunehri Duayen,6,Ghazwa-e-Uhad,1,Hazrat Sulaiman,4,Dragon ki Wapasi,2,,,Lughat-ul-Quran,1,,,Bharti alehdgi,1,Hawa Kya Hai,1,Health & Physical,1,Aadab-e-Zindagi,2
Sunehre Azkar,8,Tehrik-e-Islam,1,Hazrat Nooh,3,Bahane Baz,2,,,Darus-ul-Arabic,1,,,Nazria-e-Pakistan,1,Internet,1,Taleem,1,Misali Ustad,2
Meharban Rasool,2,Tarikh-e-Makkah,1,Hazrat Hood,2,Quaid ki kahani,1,,,Language,1,,,Quaid-e-Azam ka Tassavar-e-Pakistan,1,,,Hamdard,1,Apna Karobar Shuru Karein,1
Mukhtasar Namaz,1,Saitaniyat ki tarikh,1,Hazrat Ibrahim,5,Focus,2,,,Arabic Kitab,1,,,Pakistan Ke Bunyadi Maamar,1,,,Bachon Ki Tarbiyat,1,Muslim,1
Qabar Ka Azab,3,Ghazw-e-Tabooq,4,Hazrat Yousaf,6,Jagmag tare,8,,,Sentence To Paragraph,1,,,Qayam-e-Pakistan,1,,,Islami Muashra,1,Kulityat-e-Patras,1
Muamlat-e-Rasool,1,Muarika-e-Jalula,1,Ameer Taimoor,1,Ghost of Fear Street,1,,,,,,,ek sadi ka Hisa,1,,,Main Tawajah Karna Chahta hoon,1,Woh bhi Kya Din the,1
Quran-e-Kareem,2,Nabi(PBUH) Ke Khatoot,1,Hazrat Dawood,7,Khushgawar hadsa,3,,,,,,,Qayam-e-Pakistan Ki sachi Kahani,1,,,Khud Aur Khuddari,1,Karname,1
